all定位误差X-1,all定位误差Y-1,all定位误差X-2,all定位误差Y-2,all定位误差X-3,all定位误差Y-3,all定位误差X-4,all定位误差Y-4,all物件坐标X-1,all物件坐标Y-1,all物理坐标X-1,all物理坐标Y-1,catch定位误差X(移动到拍照位),catch定位误差Y(移动到拍照位),catch光栅反馈X(移动到拍照位),catch光栅反馈Y(移动到拍照位),视觉误差X,视觉误差Y,catch复拍物件坐标X,catch复拍物件坐标Y,catch复拍物理坐标X,catch复拍物理坐标Y,catchPLC坐标X,catchPLC坐标Y,catch定位误差X,catch定位误差Y,catch光栅反馈X,catch光栅反馈Y,releasePLC坐标X,releasePLC坐标Y,release定位误差X,release定位误差Y,release光栅反馈X,release光栅反馈Y,贴合误差X,贴合误差Y,release视觉坐标X(像素),release视觉坐标Y(像素)
-0.07529449462890625,-0.00499725341796875,-0.1248016357421875,-0.00499725341796875,-0.1248016357421875,-0.010000228881835938,-0.0767974853515625,-0.010000228881835938,1439.681,1138.154,-0.039,9.081,1.795196533203125,-0.00499725341796875,228.9,120.6,1.874532699584961,-0.014796257019042969,1467.604,1138.469,-1.913,9.096,179.7,100.0,0.9351959228515625,-0.00499725341796875,178.8,100.1,-50.4,-12.0,-4.840003967285156,-0.010000228881835938,-45.6,-12.0,-7.0,3.5,2183.0,844.5
-0.07529449462890625,-0.00499725341796875,-0.1248016357421875,-0.00499725341796875,-0.1248016357421875,-0.010000228881835938,-0.0767974853515625,-0.010000228881835938,1428.107,1149.823,0.734,9.87,-0.6248016357421875,-0.010000228881835938,231.3,28.5,-0.5123027563095093,-0.012029647827148438,1420.475,1149.976,1.246,9.882,178.9,7.1,-1.634796142578125,1.430511474609375e-06,180.6,7.1,-50.0,77.5,-7.120002746582031,-1,-42.9,77.5,-20.5,1.5,2169.5,842.5
-0.07529449462890625,-0.00499725341796875,-0.1248016357421875,-0.00499725341796875,-0.1248016357421875,-0.010000228881835938,-0.0767974853515625,-0.010000228881835938,1331.446,1425.095,7.122,28.43,-4.816795349121094,-0.010000228881835938,117.8,28.5,-4.698122978210449,-0.017488479614257812,1261.46,1425.116,11.82,28.448,54.8,-11.4,-5.7368011474609375,-0.010000228881835938,60.6,-11.4,-50.0,122.8,-8.28000259399414,7.62939453125e-06,-41.7,122.8,-51.5,-1.0001220703125,2138.5,840.0
-0.0648040771484375,-0.06999969482421875,-0.0648040771484375,-0.010000228881835938,-0.03679656982421875,-0.010000228881835938,-0.03530120849609375,-0.00499725341796875,-1,-1,-1,-1,0.00469970703125,-0.00499725341796875,106.2,120.6,0.07347488403320312,0.0027794241905212402,1030.462,1015.505,27.477,0.915,27.6,108.2,-1.36529541015625,-0.0149993896484375,29.0,108.2,-1,-1,-1,-1,-1,-1,-3.07080078125,14.121337890625,2186.929,855.121
-0.0648040771484375,-0.06999969482421875,-0.0648040771484375,-0.010000228881835938,-0.03679656982421875,-0.010000228881835938,-0.03530120849609375,-0.00499725341796875,-1,-1,-1,-1,3.835205078125,-0.00499725341796875,226.8,120.6,-1,-1,-1,-1,-1,-1,-1,-1,-1.36529541015625,-0.0149993896484375,29.0,108.2,-50.0,122.8,0.6399993896484375,7.62939453125e-06,-50.6,122.8,-10.5,-5.0,2179.5,836.0
-0.0648040771484375,-0.06999969482421875,-0.0648040771484375,-0.010000228881835938,-0.03679656982421875,-0.010000228881835938,-0.03530120849609375,-0.00499725341796875,1820.3,1085.955,-25.57,5.478,4.8152008056640625,-0.010000228881835938,225.8,28.5,3.7412948608398438,-0.003468155860900879,1917.855,977.936,-32.079,-1.819,208.0,110.9,3.3552093505859375,0.0050048828125,204.6,110.9,-50.4,32.5,-1.3600044250488281,-1,-49.0,32.5,36.559326171875,2.15338134765625,2226.559,843.153
-0.0648040771484375,-0.06999969482421875,-0.0648040771484375,-0.010000228881835938,-0.03679656982421875,-0.010000228881835938,-0.03530120849609375,-0.00499725341796875,1645.807,1275.039,-13.926,18.253,3.9431991577148438,-0.010000228881835938,109.0,28.5,3.8976078033447266,0.05045509338378906,1703.871,1274.488,-17.823,18.202,75.9,-1.3,3.033203125,-0.009999990463256836,72.8,-1.2,-50.0,122.8,-1,-1,-1,-1,29.01025390625,-1.00958251953125,2219.01,839.99
-0.0552978515625,-0.00499725341796875,-0.0847930908203125,-0.00499725341796875,-0.0847930908203125,-0.010000228881835938,-0.05680084228515625,-0.010000228881835938,1371.473,1239.741,4.503,15.938,0.32469940185546875,-0.00499725341796875,105.9,120.6,0.32793235778808594,0.036037445068359375,1376.361,1239.222,4.175,15.902,50.7,93.2,-1,-1,-1,-1,-50.0,122.8,-3.0,7.62939453125e-06,-47.0,122.8,-19.279541015625,-1.3944091796875,2170.72,839.606
-0.0552978515625,-0.00499725341796875,-0.0847930908203125,-0.00499725341796875,-0.0847930908203125,-0.010000228881835938,-0.05680084228515625,-0.010000228881835938,1555.738,1323.658,-7.897,21.547,2.175201416015625,-0.00499725341796875,228.5,120.6,2.2001914978027344,0.06414794921875,1588.518,1322.817,-10.098,21.483,187.6,87.6,1.235198974609375,-0.0050048828125,186.3,87.6,-50.0,77.5,-3.0600013732910156,-0.0099945068359375,-46.9,77.5,-0.5,1.0,2189.5,842.0
-0.0552978515625,-0.00499725341796875,-0.0847930908203125,-0.00499725341796875,-0.0847930908203125,-0.010000228881835938,-0.05680084228515625,-0.010000228881835938,1577.625,1110.318,-9.288,7.175,2.6551971435546875,-0.010000228881835938,228.0,28.5,2.70361328125,-0.01149129867553711,1617.898,1110.626,-11.992,7.186,188.9,9.8,1.665191650390625,-0.010000228881835938,187.3,9.8,-50.4,32.5,-2.3000030517578125,-1,-48.1,32.5,-0.227783203125,-1.93548583984375,2189.772,839.065
-0.0552978515625,-0.00499725341796875,-0.0847930908203125,-0.00499725341796875,-0.0847930908203125,-0.010000228881835938,-0.05680084228515625,-0.010000228881835938,1273.92,1076.168,11.111,4.945,-2.1968002319335938,-0.010000228881835938,115.1,28.5,-2.1773624420166016,-0.024772167205810547,1241.483,1076.426,13.289,4.969,50.8,12.1,-3.326801300048828,-1,54.2,12.1,-50.4,-12.0,-5.680004119873047,-0.010000228881835938,-44.7,-12.0,-34.5,-3.0,2155.5,838.0
-0.11529541015625,-0.00499725341796875,-0.164794921875,-0.00499725341796875,-0.164794921875,-0.010000228881835938,-0.1367950439453125,-0.010000228881835938,1927.193,1435.912,-32.874,29.022,-0.11529541015625,-0.00499725341796875,106.3,120.6,0.02037811279296875,-0.0040988922119140625,1927.496,1435.974,-32.894,29.026,88.1,80.1,-0.12529754638671875,-0.0050048828125,88.2,80.1,-50.0,122.8,-2.5600013732910156,7.62939453125e-06,-47.4,122.8,10.857177734375,13.8138427734375,2200.857,854.814
-0.11529541015625,-0.00499725341796875,-0.164794921875,-0.00499725341796875,-0.164794921875,-0.010000228881835938,-0.1367950439453125,-0.010000228881835938,1929.05,1392.429,-32.983,26.093,3.5951995849609375,-0.00499725341796875,227.1,120.6,3.7212867736816406,-0.03870582580566406,1984.481,1393.193,-36.704,26.132,212.6,83.0,3.4351959228515625,-0.00499725341796875,209.2,83.0,-50.0,77.5,-1.5800018310546875,-0.0099945068359375,-48.4,77.5,22.990234375,6.1475830078125,2212.99,847.148
-0.11529541015625,-0.00499725341796875,-0.164794921875,-0.00499725341796875,-0.164794921875,-0.010000228881835938,-0.1367950439453125,-0.010000228881835938,2057.265,1450.992,-41.611,30.008,0.0352020263671875,-0.010000228881835938,230.6,28.5,0.20389556884765625,0.002925872802734375,2060.302,1450.959,-41.815,30.005,221.3,-13.0,-0.1548004150390625,-0.010000228881835938,221.4,-13.0,-50.4,-12.0,-4.980003356933594,-1,-45.4,-12.0,-6.0,7.5,2184.0,848.5
-0.11529541015625,-0.00499725341796875,-0.164794921875,-0.00499725341796875,-0.164794921875,-0.010000228881835938,-0.1367950439453125,-0.010000228881835938,1799.804,1416.498,-24.315,27.744,-1.3967971801757812,-0.010000228881835938,114.3,28.5,-1.205331802368164,-0.010009765625,1781.848,1416.586,-23.11,27.754,86.3,-10.7,-1.6968002319335938,-0.010000228881835938,88.0,-10.7,-50.4,32.5,-3.860004425048828,-1,-46.5,32.5,-17.0,-9.0001220703125,2173.0,832.0
-0.0552978515625,-0.00499725341796875,-0.10479736328125,-0.00499725341796875,-0.10479736328125,-0.010000228881835938,-0.05680084228515625,-0.010000228881835938,1377.573,1002.933,4.18,-0.011,-0.07529449462890625,-0.00499725341796875,106.3,120.6,-0.0006303787231445312,0.0059499600902199745,1377.564,1002.845,4.181,-0.017,51.0,109.1,-0.7552986145019531,-0.01499176025390625,51.8,109.2,-50.0,122.8,-3.0800018310546875,7.62939453125e-06,-46.9,122.8,-15.739990234375,-2.19842529296875,2174.26,838.802
-0.0552978515625,-0.00499725341796875,-0.10479736328125,-0.00499725341796875,-0.10479736328125,-0.010000228881835938,-0.05680084228515625,-0.010000228881835938,1237.49,1327.704,13.465,21.893,1.4351959228515625,-0.00499725341796875,229.2,120.6,1.5445566177368164,0.019023895263671875,1260.5,1327.5,11.92,21.874,166.2,87.2,0.675201416015625,-0.00499725341796875,165.5,87.2,-50.0,77.5,-0.9200019836425781,-0.0099945068359375,-49.1,77.5,1.5,0.5,2191.5,841.5
-0.0552978515625,-0.00499725341796875,-0.10479736328125,-0.00499725341796875,-0.10479736328125,-0.010000228881835938,-0.05680084228515625,-0.010000228881835938,1207.046,1343.665,15.503,22.975,4.615203857421875,-0.010000228881835938,226.0,28.5,4.693953514099121,0.015665054321289062,1276.97,1343.671,10.809,22.959,164.2,-6.0,3.9152069091796875,4.76837158203125e-07,160.2,-6.0,-50.4,-12.0,-0.5400009155273438,-0.010000228881835938,-49.9,-12.0,19.96484375,11.03759765625,2209.965,852.038
-0.0552978515625,-0.00499725341796875,-0.10479736328125,-0.00499725341796875,-0.10479736328125,-0.010000228881835938,-0.05680084228515625,-0.010000228881835938,895.086,1180.091,36.504,12.031,2.4431991577148438,-0.010000228881835938,110.5,28.5,2.529571533203125,-0.01689624786376953,932.766,1180.471,33.975,12.047,25.4,5.0,1.2432003021240234,1.430511474609375e-06,24.2,5.0,-50.4,32.5,-0.160003662109375,-1,-50.2,32.5,9.5,-2.0,2199.5,839.0
-0.07529449462890625,-0.00499725341796875,-0.1248016357421875,-0.00499725341796875,-0.1248016357421875,-0.010000228881835938,-0.0767974853515625,-0.010000228881835938,1116.028,1236.619,21.652,15.787,-0.204803466796875,-0.00499725341796875,230.9,120.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-9.5,-4.5,2180.5,836.5
